"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","03 MultiConfiguration project","7","0","US_03.003 Delete project","0"
"0","API","0","","0","0","","2"
"0","12 Footer","0","","8","0","US_12.001 Jenkins version","0"
"0","14 Header","0","","0","0","US_14.002 Search box","11"
"0","00 New Item","0","03 MultiConfiguration project","2","0","US_00.003 Create MultiConfiguration project","0"
"0","","0","03 MultiConfiguration project","1","0","US_03.004 Build","0"
"0","14 Header","0","","0","0","US_14.003 Questions box","1"
"0","","0","03 MultiConfiguration project","1","0","US_03.001 Add/edit description","0"
